,continent,location,date,total_vaccinations,people_partially_vaccinated,people_fully_vaccinated
104,Asia,Afghanistan,2023-05-16,17116708.0,14949378.0,14233987.0
105,Asia,Afghanistan,2023-05-21,17479379.0,15203606.0,14502241.0
106,Asia,Afghanistan,2023-05-29,18434710.0,15875256.0,15168758.0
107,Asia,Afghanistan,2023-06-06,19712836.0,16770724.0,16064707.0
108,Asia,Afghanistan,2023-06-11,20000706.0,16978090.0,16271662.0
109,Asia,Afghanistan,2023-06-13,20013614.0,16987158.0,16280657.0
110,Asia,Afghanistan,2023-06-18,20241838.0,17166330.0,16443159.0
111,Asia,Afghanistan,2023-06-20,20324305.0,17231834.0,16505676.0
112,Asia,Afghanistan,2023-06-27,20393575.0,17283424.0,16556475.0
113,Asia,Afghanistan,2023-07-04,20463361.0,17340211.0,16607637.0
114,Asia,Afghanistan,2023-07-09,20472584.0,17347592.0,16611044.0
115,Europe,Albania,2021-02-02,550.0,549.0,1.0
116,Europe,Albania,2021-02-09,1127.0,689.0,438.0
117,Europe,Albania,2021-02-17,1701.0,1090.0,611.0
118,Europe,Albania,2021-02-18,3049.0,2438.0,611.0
119,Europe,Albania,2021-02-22,6728.0,6073.0,655.0
120,Europe,Albania,2021-05-11,622507.0,440921.0,181586.0
121,Europe,Albania,2021-05-12,632676.0,444755.0,187921.0
122,Europe,Albania,2021-05-13,638338.0,445402.0,192936.0
123,Europe,Albania,2021-05-14,653330.0,448571.0,204759.0
124,Europe,Albania,2021-05-17,680083.0,456980.0,223103.0
125,Europe,Albania,2021-05-18,688947.0,460191.0,228756.0
126,Europe,Albania,2021-05-19,697811.0,463402.0,234409.0
127,Europe,Albania,2021-05-20,703743.0,466083.0,237660.0
128,Europe,Albania,2021-05-21,708846.0,469169.0,239677.0
129,Europe,Albania,2021-05-23,716616.0,472840.0,243776.0
130,Europe,Albania,2021-05-24,725135.0,475237.0,249898.0
131,Europe,Albania,2021-05-26,748986.0,479789.0,269197.0
132,Europe,Albania,2021-05-27,759043.0,481788.0,277255.0
133,Europe,Albania,2021-05-30,772204.0,485162.0,287042.0
134,Europe,Albania,2021-05-31,776461.0,486128.0,290333.0
135,Europe,Albania,2021-06-01,780342.0,487078.0,293264.0
136,Europe,Albania,2021-06-03,787321.0,490050.0,297271.0
137,Europe,Albania,2021-06-06,798624.0,492522.0,306102.0
138,Europe,Albania,2021-06-07,803682.0,493346.0,310336.0
139,Europe,Albania,2021-06-08,809992.0,494437.0,315555.0
140,Europe,Albania,2021-06-09,816556.0,496024.0,320532.0
141,Europe,Albania,2021-06-10,823053.0,498437.0,324616.0
142,Europe,Albania,2021-06-11,830281.0,501735.0,328546.0
143,Europe,Albania,2021-06-12,834868.0,503721.0,331147.0
144,Europe,Albania,2021-06-13,836430.0,504257.0,332173.0
145,Europe,Albania,2021-06-14,842535.0,507764.0,334771.0
146,Europe,Albania,2021-06-15,848430.0,507854.0,340576.0
147,Europe,Albania,2021-06-16,854227.0,509282.0,344945.0
148,Europe,Albania,2021-06-17,862628.0,511175.0,351453.0
149,Europe,Albania,2021-06-20,880912.0,515884.0,365028.0
150,Europe,Albania,2021-06-21,890052.0,519674.0,370378.0
151,Europe,Albania,2021-06-22,901429.0,525800.0,375629.0
152,Europe,Albania,2021-06-23,912874.0,532225.0,380649.0
153,Europe,Albania,2021-06-24,922886.0,537018.0,385868.0
154,Europe,Albania,2021-06-28,943439.0,547300.0,396139.0
155,Europe,Albania,2021-06-29,955498.0,556252.0,399246.0
156,Europe,Albania,2021-06-30,968034.0,564530.0,403504.0
157,Europe,Albania,2021-07-01,974486.0,567084.0,407402.0
158,Europe,Albania,2021-07-02,981499.0,569352.0,412147.0
159,Europe,Albania,2021-07-04,988550.0,571759.0,416791.0
160,Europe,Albania,2021-07-05,994081.0,574187.0,419894.0
161,Europe,Albania,2021-07-06,1000063.0,576905.0,423158.0
162,Europe,Albania,2021-07-07,1005663.0,579552.0,426111.0
163,Europe,Albania,2021-07-08,1011297.0,582106.0,429191.0
164,Europe,Albania,2021-07-09,1016554.0,584832.0,431722.0
165,Europe,Albania,2021-07-10,1021408.0,587238.0,434170.0
166,Europe,Albania,2021-07-11,1022802.0,587876.0,434926.0
167,Europe,Albania,2021-07-12,1029234.0,590476.0,438758.0
168,Europe,Albania,2021-07-13,1035667.0,592502.0,443165.0
169,Europe,Albania,2021-07-14,1043499.0,594669.0,448830.0
170,Europe,Albania,2021-07-15,1052108.0,596977.0,455131.0
171,Europe,Albania,2021-07-16,1060042.0,599387.0,460655.0
172,Europe,Albania,2021-07-17,1067135.0,601701.0,465434.0
173,Europe,Albania,2021-07-18,1069365.0,602460.0,466905.0
174,Europe,Albania,2021-07-20,1082424.0,609538.0,472886.0
175,Europe,Albania,2021-07-21,1095453.0,616592.0,478861.0
176,Europe,Albania,2021-07-22,1109785.0,624490.0,485295.0
177,Europe,Albania,2021-07-25,1138771.0,640047.0,498724.0
178,Europe,Albania,2021-07-29,1179769.0,660756.0,519013.0
179,Europe,Albania,2021-07-30,1190847.0,665632.0,525215.0
180,Europe,Albania,2021-07-31,1198933.0,670215.0,528718.0
181,Europe,Albania,2021-08-01,1203087.0,672765.0,530322.0
182,Europe,Albania,2021-08-02,1212761.0,677938.0,534823.0
183,Europe,Albania,2021-08-03,1221640.0,683052.0,538588.0
184,Europe,Albania,2021-08-04,1229405.0,687768.0,541637.0
185,Europe,Albania,2021-08-05,1238036.0,693000.0,545036.0
186,Europe,Albania,2021-08-08,1259952.0,706470.0,553482.0
187,Europe,Albania,2021-08-10,1280239.0,720232.0,560007.0
188,Europe,Albania,2021-08-13,1309995.0,742540.0,567455.0
189,Europe,Albania,2021-08-15,1321198.0,750965.0,570233.0
190,Europe,Albania,2021-08-16,1330754.0,757938.0,572816.0
191,Europe,Albania,2021-08-17,1340339.0,764997.0,575342.0
192,Europe,Albania,2021-08-19,1358228.0,776986.0,581242.0
193,Europe,Albania,2021-08-21,1373349.0,785724.0,587625.0
194,Europe,Albania,2021-08-22,1376763.0,787510.0,589253.0
195,Europe,Albania,2021-08-23,1386713.0,792663.0,594050.0
196,Europe,Albania,2021-08-24,1396390.0,797441.0,598949.0
197,Europe,Albania,2021-08-25,1405653.0,802394.0,603259.0
198,Europe,Albania,2021-08-26,1415907.0,807368.0,608539.0
199,Europe,Albania,2021-08-27,1427977.0,812555.0,615422.0
200,Europe,Albania,2021-08-29,1444764.0,818955.0,625809.0
201,Europe,Albania,2021-08-30,1458048.0,824170.0,633878.0
202,Europe,Albania,2021-08-31,1472316.0,830396.0,641920.0
203,Europe,Albania,2021-09-01,1485250.0,836613.0,648637.0
204,Europe,Albania,2021-09-02,1499898.0,844304.0,655594.0
205,Europe,Albania,2021-09-06,1539232.0,865281.0,673951.0
206,Europe,Albania,2021-09-07,1553626.0,872116.0,681510.0
207,Europe,Albania,2021-09-08,1567313.0,879459.0,687854.0
208,Europe,Albania,2021-09-09,1579402.0,885981.0,693421.0
209,Europe,Albania,2021-09-10,1589575.0,890978.0,698597.0
210,Europe,Albania,2021-09-11,1598196.0,895363.0,702833.0
211,Europe,Albania,2021-09-12,1601552.0,896926.0,704626.0
212,Europe,Albania,2021-09-13,1610157.0,900814.0,709343.0
213,Europe,Albania,2021-09-14,1618111.0,904594.0,713517.0
214,Europe,Albania,2021-09-15,1625636.0,908232.0,717404.0
215,Europe,Albania,2021-09-16,1632986.0,911372.0,721614.0
216,Europe,Albania,2021-09-17,1640239.0,914401.0,725838.0
217,Europe,Albania,2021-09-19,1649884.0,918307.0,731577.0
218,Europe,Albania,2021-09-20,1657595.0,921001.0,736594.0
219,Europe,Albania,2021-09-21,1665590.0,923771.0,741819.0
220,Europe,Albania,2021-09-22,1674093.0,926652.0,747441.0
221,Europe,Albania,2021-09-23,1683644.0,929624.0,754020.0
222,Europe,Albania,2021-09-24,1693555.0,932595.0,760960.0
223,Europe,Albania,2021-09-27,1715133.0,938985.0,776148.0
224,Europe,Albania,2021-09-28,1723996.0,941418.0,782578.0
225,Europe,Albania,2021-09-29,1732549.0,944011.0,788538.0
226,Europe,Albania,2021-09-30,1741373.0,946495.0,794878.0
227,Europe,Albania,2021-10-01,1749106.0,948553.0,800553.0
228,Europe,Albania,2021-10-02,1756040.0,950620.0,805420.0
229,Europe,Albania,2021-10-04,1764714.0,952949.0,811765.0
